device,processor,ram,storage,battery,price,antutu_score,category,value_score,rating,height,website_url,image_url,upvotes,reviews,camera
realme 15 Pro 5G,7 Gen 4,12,256,7000,35999,960000,Performance,26.66740743,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-pro-5g-flowing-silver-256-gb/p/itm216cdbf4baea0?pid=MOBHDVK2ZHM5H8NP&lid=LSTMOBHDVK2ZHM5H8NPQ6QGN1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_177&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHDVK2ZHM5H8NP.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/4/n/-original-imahezrzhqnjdwjr.jpeg?q=70,"4,052 Ratings",322 Reviews,50MP + 50MP | 50MP Front Camera
realme 15 Pro 5G,7 Gen 4,12,256,7000,35999,960000,Performance,26.66740743,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-pro-5g-silk-purple-256-gb/p/itm216cdbf4baea0?pid=MOBHDVK2Y7TPQGTE&lid=LSTMOBHDVK2Y7TPQGTEZIVMRS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_178&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHDVK2Y7TPQGTE.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/j/p/-original-imahezrzjedaf7e2.jpeg?q=70,"4,052 Ratings",322 Reviews,50MP + 50MP | 50MP Front Camera
Samsung Galaxy S25 Plus 5G,8 Elite for Galxy Processor,12,256,4900,79999,1250000,Performance,15.62519531,4.7,17.02 cm (6.7 inch) Quad HD+ Display,https://www.flipkart.com/samsung-galaxy-s25-plus-5g-silver-shadow-256-gb/p/itm8d76a9b476932?pid=MOBH8K8UJTZZN7WZ&lid=LSTMOBH8K8UJTZZN7WZTHXXFT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_179&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBH8K8UJTZZN7WZ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/v/t/-original-imahggffvpcxr5jq.jpeg?q=70,128 Ratings,21 Reviews,50MP + 10MP + 12MP | 12MP Front Camera
Samsung M06 5G,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,6,128,5000,10999,520000,Value for Money,47.27702518,4,17.02 cm (6.7 inch) Display,https://www.flipkart.com/samsung-m06-5g-blazing-black-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYNVDBNFF&lid=LSTMOBH9UYFYNVDBNFFBSRD5O&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_180&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBH9UYFYNVDBNFF.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/y/x/-original-imaha58mehzvmk9w.jpeg?q=70,562 Ratings,44 Reviews,50MP Rear Camera
realme 14 Pro+ 5G,7s Gen 3 Mobile Platform Processor,8,256,6000,25999,930000,Multitasking,35.77060656,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-14-pro-5g-bikaner-purple-256-gb/p/itmb5105a70ea6a6?pid=MOBH84ZX8UHXKCYY&lid=LSTMOBH84ZX8UHXKCYYN5I3RZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_181&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBH84ZX8UHXKCYY.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/x/y/-original-imahewbat2sqt5tv.jpeg?q=70,"15,619 Ratings","1,870 Reviews",50MP + 50MP + 8MP | 32MP Front Camera
MOTOROLA G86 Power 5G,Dimensity 7400,8,128,6720,17999,830000,Value for Money,46.11367298,4.3,17.02 cm (6.7 inch) Super HD Display,https://www.flipkart.com/motorola-g86-power-5g-pantone-golden-cypress-128-gb/p/itm57837c5866aaa?pid=MOBHC7FHC7XWYNA9&lid=LSTMOBHC7FHC7XWYNA9WYYFCL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_182&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHC7FHC7XWYNA9.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/o/h/-original-imahgqnzmg8nz7nm.jpeg?q=70,"21,614 Ratings","1,409 Reviews",50MP + 8MP | 32MP Front Camera
realme Narzo 80x 5G,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,8,128,6000,13399,520000,Multitasking,38.80886633,4.3,17.07 cm (6.72 inch) Display,https://www.flipkart.com/realme-narzo-80x-5g-sunlit-gold-128-gb/p/itm60c23a3292eeb?pid=MOBHB4U6PH2KBG7S&lid=LSTMOBHB4U6PH2KBG7S6QIDVQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_183&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHB4U6PH2KBG7S.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/4/r/narzo-80x-5g-rmx3944-realme-original-imahb4u6qyy8tggu.jpeg?q=70,"2,019 Ratings",82 Reviews,50MP Rear Camera
MOTOROLA G96 5G,7s Gen 2 Processor,8,256,5500,19999,840000,Value for Money,42.00210011,4.4,16.94 cm (6.67 inch) Full HD+ Display,https://www.flipkart.com/motorola-g96-5g-pantone-dresden-blue-256-gb/p/itm4c107ff15ac8d?pid=MOBHB3SZZRUQDHXK&lid=LSTMOBHB3SZZRUQDHXKZNH9GM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_184&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHB3SZZRUQDHXK.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/o/9/-original-imahgqnzt97efyph.jpeg?q=70,"70,257 Ratings","3,555 Reviews",50MP + 8MP | 32MP Front Camera
MOTOROLA Razr 60,Dimensity 7400X,8,256,4500,49999,840000,Value for Money,16.80033601,4.4,17.53 cm (6.9 inch) Full HD+ Display,https://www.flipkart.com/motorola-razr-60-pantone-spring-bud-256-gb/p/itm553424a841e7c?pid=MOBHAYH265YH8RGG&lid=LSTMOBHAYH265YH8RGGJZKVVI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_185&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHAYH265YH8RGG.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/w/h/-original-imahgqnztfkjmzd2.jpeg?q=70,"1,831 Ratings",134 Reviews,50MP + 13MP | 32MP Front Camera
OPPO F31 5G,Dimensity 6300,8,128,7000,23999,620000,Multitasking,25.83440977,4.3,16.69 cm (6.57 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-5g-bloom-red-128-gb/p/itme4999ba8be7f5?pid=MOBHFKPT2FRCZS9W&lid=LSTMOBHFKPT2FRCZS9WPFJLJQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_186&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHFKPT2FRCZS9W.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/z/s/-original-imahgxe6a5p9naqm.jpeg?q=70,976 Ratings,54 Reviews,50MP + 2MP | 16MP Front Camera
OPPO F31 5G,Dimensity 6300,8,256,7000,25999,630000,Multitasking,24.23170122,4.3,16.69 cm (6.57 inch) Full HD+ Display,https://www.flipkart.com/oppo-f31-5g-midnight-blue-256-gb/p/itme4999ba8be7f5?pid=MOBHFKPT7A7DU9GY&lid=LSTMOBHFKPT7A7DU9GYBX45VT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_187&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHFKPT7A7DU9GY.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/q/c/-original-imahgxe6zhg9nmwu.jpeg?q=70,976 Ratings,54 Reviews,50MP + 2MP | 16MP Front Camera
realme 14 Pro+ 5G,7s Gen 3 Mobile Platform Processor,12,512,6000,29999,960000,Performance,32.0010667,4.4,17.35 cm (6.83 inch) Display,https://www.flipkart.com/realme-14-pro-5g-pearl-white-512-gb/p/itmb5105a70ea6a6?pid=MOBH9ARSH7UWG6ZA&lid=LSTMOBH9ARSH7UWG6ZAOWMGEJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_188&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBH9ARSH7UWG6ZA.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/w/h/-original-imahewb2y9bryhzh.jpeg?q=70,"8,153 Ratings",896 Reviews,50MP + 50MP + 8MP | 32MP Front Camera
OPPO A3x 5G,Dimensity 6300,4,64,5100,10499,600000,Value for Money,57.14829984,4.2,16.94 cm (6.67 inch) HD+ Display,https://www.flipkart.com/oppo-a3x-5g-sparkle-black-64-gb/p/itmb2b7c683d72a8?pid=MOBH3YHWJJFBTQ3X&lid=LSTMOBH3YHWJJFBTQ3XNDCMWD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_189&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBH3YHWJJFBTQ3X.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/w/p/-original-imah4d9fxbgarzhe.jpeg?q=70,"4,883 Ratings",189 Reviews,8MP Rear Camera | 5MP Front Camera
realme 15 Pro 5G,7 Gen 4,8,256,7000,33999,930000,Multitasking,27.3537457,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15-pro-5g-velvet-green-256-gb/p/itm216cdbf4baea0?pid=MOBHDVK2QGJBZC6Z&lid=LSTMOBHDVK2QGJBZC6ZZTFFLP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_190&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHDVK2QGJBZC6Z.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/n/3/-original-imahezrzhdddaudb.jpeg?q=70,"7,182 Ratings",640 Reviews,50MP + 50MP | 50MP Front Camera
MOTOROLA Edge 60 Pro,Dimensity 8350,12,256,6000,33999,960000,Performance,28.23612459,4.3,17.02 cm (6.7 inch) Display,https://www.flipkart.com/motorola-edge-60-pro-pantone-walnut-256-gb/p/itm77d7138c41207?pid=MOBHC7EWYHZHH8TV&lid=LSTMOBHC7EWYHZHH8TVGCXTJG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_191&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBHC7EWYHZHH8TV.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/8/d/-original-imahgqnzhgvt3txq.jpeg?q=70,"12,321 Ratings","1,039 Reviews",50MP + 50MP + 10MP | 50MP Front Camera
Samsung M06 5G,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,6,128,5000,10790,520000,Value for Money,48.19277108,4,17.02 cm (6.7 inch) Display,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYF3VCXJ279&lid=LSTMOBH9UYF3VCXJ279VX0I2R&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_8_192&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=e95535f9-f7a8-42b6-a108-3bd88645dba0.MOBH9UYF3VCXJ279.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/t/g/-original-imaha58mcdsfygaq.jpeg?q=70,562 Ratings,44 Reviews,50MP Rear Camera
Samsung Galaxy A06 5G,MEDIATEK Processor,4,128,5000,10800,500000,Value for Money,46.2962963,4.1,17.02 cm (6.7 inch) HD+ Display,https://www.flipkart.com/samsung-galaxy-a06-5g-black-128-gb/p/itm9c28a64b67ad6?pid=MOBH9YKUMUZJHACE&lid=LSTMOBH9YKUMUZJHACEMA6BXN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_145&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBH9YKUMUZJHACE.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/g/m/galaxy-a06-5g-sm-a066bzkdins-samsung-original-imahfr7a8cr2hrez.jpeg?q=70,"2,158 Ratings",139 Reviews,50MP + 50MP | 2MP + 2MP Dual Front Camera
realme P4 Pro 5G,7 Gen 4 Mobile,8,128,7000,22999,920000,Value for Money,40.00173921,4.4,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-p4-pro-5g-birch-wood-128-gb/p/itme41a54752cc21?pid=MOBHERXKZCGAA4QC&lid=LSTMOBHERXKZCGAA4QCHSS5IQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_146&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHERXKZCGAA4QC.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70,"14,322 Ratings","1,183 Reviews",50MP + 8MP | 50MP Front Camera
Samsung Galaxy F36 5G,Samsung Exynos 1380 Processor,8,256,5000,20999,840000,Value for Money,40.00190485,4.2,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/samsung-galaxy-f36-5g-black-256-gb/p/itma2c19580a816d?pid=MOBHDFVTUZD7AKRA&lid=LSTMOBHDFVTUZD7AKRADJWYUS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_147&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHDFVTUZD7AKRA.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/k/g/-original-imahgynnzvyjucyf.jpeg?q=70,"3,832 Ratings",269 Reviews,50MP + 8MP + 2MP | 13MP Front Camera
vivo T4 Pro 5G,7 Gen 4,8,128,6500,27999,920000,Multitasking,32.85831637,4.5,17.2 cm (6.77 inch) Display,https://www.flipkart.com/vivo-t4-pro-5g-blaze-gold-128-gb/p/itm4da1824b696d9?pid=MOBHF4F9BEEHFWWW&lid=LSTMOBHF4F9BEEHFWWWCCFS2S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_148&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHF4F9BEEHFWWW.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/c/b/-original-imahfkvezr4fcets.jpeg?q=70,"10,105 Ratings",646 Reviews,50MP + 2MP + 50MP | 32MP Front Camera
MOTOROLA Edge 60 Fusion 5G,Dimensity 7400,12,256,5500,24999,840000,Value for Money,33.60134405,4.4,16.94 cm (6.67 inch) Display,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-mykonos-blue-256-gb/p/itmed0508d75f2e5?pid=MOBH9AQZBGJGQSTG&lid=LSTMOBH9AQZBGJGQSTG4ASESC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_149&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBH9AQZBGJGQSTG.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/l/g/-original-imahgympttnkvw7t.jpeg?q=70,"42,245 Ratings","2,222 Reviews",50MP + 13MP | 32MP Front Camera
MOTOROLA Edge 60 Pro,Dimensity 8350,12,256,6000,33999,960000,Performance,28.23612459,4.3,17.02 cm (6.7 inch) Display,https://www.flipkart.com/motorola-edge-60-pro-pantone-shadow-256-gb/p/itme4f8c6dd0e2db?pid=MOBH9C9JBE7X4H8H&lid=LSTMOBH9C9JBE7X4H8HWHFJKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_150&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBH9C9JBE7X4H8H.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/b/t/-original-imahgqnzzc6cgggb.jpeg?q=70,"12,321 Ratings","1,039 Reviews",50MP + 50MP + 10MP | 50MP Front Camera
MOTOROLA G96 5G,7s Gen 2 Processor,8,128,5500,17999,830000,Value for Money,46.11367298,4.4,16.94 cm (6.67 inch) Full HD+ Display,https://www.flipkart.com/motorola-g96-5g-pantone-dresden-blue-128-gb/p/itm3d5ad13991fdc?pid=MOBHB3SZW72BYGHK&lid=LSTMOBHB3SZW72BYGHKT0SAJS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_7_151&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHB3SZW72BYGHK.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/o/9/-original-imahgqnzt97efyph.jpeg?q=70,"70,257 Ratings","3,555 Reviews",50MP + 8MP | 32MP Front Camera
MOTOROLA G96 5G,7s Gen 2 Processor,8,256,5500,19999,840000,Value for Money,42.00210011,4.4,16.94 cm (6.67 inch) Full HD+ Display,https://www.flipkart.com/motorola-g96-5g-pantone-cattleya-orchid-256-gb/p/itmff5481d9dfe27?pid=MOBHB3SZP4QYH7AF&lid=LSTMOBHB3SZP4QYH7AFTTEM6K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_152&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHB3SZP4QYH7AF.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/c/p/-original-imahgqnz7w9vazdb.jpeg?q=70,"70,257 Ratings","3,555 Reviews",50MP + 8MP | 32MP Front Camera
realme 15x 5G,Dimensity 6300 6nm Octa-core chipset,8,128,7000,18999,620000,Multitasking,32.63329649,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15x-5g-marine-blue-128-gb/p/itmcf22f2a57724f?pid=MOBHFW57AEJ9CYMW&lid=LSTMOBHFW57AEJ9CYMWV2HJ90&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_153&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHFW57AEJ9CYMW.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/k/k/-original-imahg8hawzyaxdmj.jpeg?q=70,"2,108 Ratings",154 Reviews,50MP Rear Camera | 50MP Front Camera
realme 15x 5G,Dimensity 6300 6nm Octa-core chipset,8,256,7000,20499,630000,Multitasking,30.7332065,4.3,17.27 cm (6.8 inch) Display,https://www.flipkart.com/realme-15x-5g-marine-blue-256-gb/p/itmcf22f2a57724f?pid=MOBHFW57NK8QSXQY&lid=LSTMOBHFW57NK8QSXQYLVEDMP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_154&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHFW57NK8QSXQY.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/k/k/-original-imahg8hawzyaxdmj.jpeg?q=70,"2,108 Ratings",154 Reviews,50MP Rear Camera | 50MP Front Camera
realme P4 5G,Mediatek Dimensity 7400,8,128,7000,17999,830000,Value for Money,46.11367298,4.4,17.2 cm (6.77 inch) Display,https://www.flipkart.com/realme-p4-5g-steel-grey-128-gb/p/itmf836e6de035a5?pid=MOBHERXFVRWZP3PZ&lid=LSTMOBHERXFVRWZP3PZJBXCXE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_155&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHERXFVRWZP3PZ.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/d/-original-imahf47f6fgxwh9a.jpeg?q=70,"10,757 Ratings",757 Reviews,50MP + 8MP | 16MP Front Camera
Samsung Galaxy F36 5G,Samsung Exynos 1380 Processor,6,128,5000,16499,800000,Value for Money,48.48778714,4.3,17.02 cm (6.7 inch) Full HD+ Display,https://www.flipkart.com/samsung-galaxy-f36-5g-black-128-gb/p/itmd18f56e2be5da?pid=MOBHDFVTWJGWETBG&lid=LSTMOBHDFVTWJGWETBGLLJCUJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_7_156&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=8eff6dbe-7bf6-4715-aff3-7f358ca492ba.MOBHDFVTWJGWETBG.SEARCH&ppt=sp&ppn=sp&ssid=qy37abu25s0000001764445102702&qH=eb4af0bf07c16429,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/c/0/-original-imahgynnhrgyx5wz.jpeg?q=70,"7,641 Ratings",445 Reviews,50MP + 8MP + 2MP | 13MP Front Camera
